,R2_train,MSE_train,RMSE_train,MAE_train,MAPE_train,R2_test,MSE_test,RMSE_test,MAE_test,MAPE_test
LR_Grid,0.82,0.1840,0.4289,0.3427,179.3470,0.81,0.1876,0.4331,0.3452,332.0725
LR_Random,0.82,0.1840,0.4289,0.3427,179.3470,0.81,0.1876,0.4331,0.3452,332.0725
LR_Optuna,0.82,0.1840,0.4289,0.3427,179.3470,0.81,0.1876,0.4331,0.3452,332.0725
L1_Grid,0.82,0.1841,0.4291,0.3431,178.5879,0.81,0.1874,0.4329,0.3454,330.4437
L1_Random,0.82,0.1841,0.4291,0.3431,178.5879,0.81,0.1874,0.4329,0.3454,330.4437
L1_Optuna,0.82,0.1841,0.4290,0.3431,178.6643,0.81,0.1874,0.4329,0.3454,330.5670
L2_Grid,0.82,0.1840,0.4289,0.3427,179.3469,0.81,0.1876,0.4331,0.3452,332.0723
L2_Random,0.82,0.1840,0.4289,0.3427,179.3469,0.81,0.1876,0.4331,0.3452,332.0723
L2_Optuna,0.82,0.1840,0.4290,0.3426,177.0233,0.81,0.1874,0.4328,0.3446,327.4968
EN_Grid,0.82,0.1841,0.4290,0.3431,178.3571,0.81,0.1874,0.4329,0.3453,329.9767
EN_Random,0.82,0.1849,0.4300,0.3440,174.3077,0.81,0.1878,0.4333,0.3456,321.9749
EN_Optuna,0.82,0.1841,0.4290,0.3430,177.5829,0.81,0.1873,0.4328,0.3451,328.4687
